label,feature_version,C,accuracy,precision,recall,f1,roc_auc
v1_C0.1,v1,0.1,0.8030804902285525,0.7485760781122864,0.913302448709464,0.8227753763601133,0.8780394371426514
v1_C10.0,v1,10.0,0.8027492547201059,0.7485745316318219,0.9123097286565188,0.8223713646532439,0.8781473987399214
v2_C0.1,v2,0.1,0.8373633653527658,0.8063063063063063,0.8884844473858372,0.8454030226700252,0.919157061302877
v2_C10.0,v2,10.0,0.8360384233189798,0.8067632850241546,0.8841826604897419,0.843700663088096,0.918381471332246
